mESCs_lnc:1110038B12Rik_hsa	Gm26224
mESCs_lnc:1110038B12Rik_hsa	Gm26224
mESCs_lnc:1110038B12Rik_hsa	Snord37
EFs_lnc:1110038B12Rik_hsa	Snora44
mESCs_lnc:1110038B12Rik_hsa	Snora44
mESCs_lnc:1110038B12Rik_hsa	Snora44
mESCs_lnc:1110038B12Rik_hsa	Snora44
mESCs_lnc:1110038B12Rik_hsa	Snora44
mESCs_lnc:1110038B12Rik_hsa	Snora44
mESCs_lnc:1110038B12Rik_hsa	Snora44
mESCs_lnc:1110038B12Rik_hsa	Snora44
mESCs_lnc:1110038B12Rik_hsa	Gm22620
mESCs_lnc:1110038B12Rik_hsa	Gm22620
mESCs_lnc:1110038B12Rik_hsa	Gm22620
mESCs_lnc:1110038B12Rik_hsa	Gm22620
mESCs_lnc:1110038B12Rik_hsa	Gm22620
mESCs_lnc:1110038B12Rik_hsa	Gm22620
EFs_lnc:1110038B12Rik_hsa	Snora52
mESCs_lnc:1110038B12Rik_hsa	Snora52
mESCs_lnc:1110038B12Rik_hsa	Gm22806
mESCs_lnc:1110038B12Rik_hsa	Gm24208
mESCs_lnc:1110038B12Rik_hsa	Gm22357
mESCs_lnc:1110038B12Rik_hsa	Gm22357
mESCs_lnc:1110038B12Rik_hsa	Gm26205
EFs_lnc:1110038B12Rik_hsa	Snora43
mESCs_lnc:1110038B12Rik_hsa	Snora43
mESCs_lnc:1110038B12Rik_hsa	Snora43
mESCs_lnc:1110038B12Rik_hsa	Snora43
mESCs_lnc:1110038B12Rik_hsa	Gm24201
mESCs_lnc:1110038B12Rik_hsa	Gm24201
mESCs_lnc:1110038B12Rik_hsa	Gm24201
mESCs_lnc:1110038B12Rik_hsa	Gm24201
mESCs_lnc:1110038B12Rik_hsa	Gm24201
mESCs_lnc:1110038B12Rik_hsa	Gm24201
mESCs_lnc:1110038B12Rik_hsa	Gm24201
mESCs_lnc:1110038B12Rik_hsa	Gm24201
mESCs_lnc:1110038B12Rik_hsa	Gm24201
mESCs_lnc:1110038B12Rik_hsa	Gm24201
mESCs_lnc:1110038B12Rik_hsa	Gm24205
mESCs_lnc:1110038B12Rik_hsa	Snord118
mESCs_lnc:1110038B12Rik_hsa	Snora21
EFs_lnc:1110038B12Rik_hsa	Snora61
mESCs_lnc:1110038B12Rik_hsa	Snora61
mESCs_lnc:1110038B12Rik_hsa	Snora61
mESCs_lnc:1110038B12Rik_hsa	Snora61
mESCs_lnc:1110038B12Rik_hsa	Snora3
mESCs_lnc:1110038B12Rik_hsa	Snora3
mESCs_lnc:1110038B12Rik_hsa	Snora3
mESCs_lnc:1110038B12Rik_hsa	Snora3
mESCs_lnc:1110038B12Rik_hsa	Snora3
mESCs_lnc:1110038B12Rik_hsa	Snora3
mESCs_lnc:1110038B12Rik_hsa	Snora3
mESCs_lnc:1110038B12Rik_hsa	Snora3
mESCs_lnc:1110038B12Rik_hsa	Gm23511
EFs_lnc:1110038B12Rik_hsa	Gm24044
EFs_lnc:1110038B12Rik_hsa	Gm24044
mESCs_lnc:1110038B12Rik_hsa	Gm24536
mESCs_lnc:1110038B12Rik_hsa	Gm26493
EFs_lnc:1110038B12Rik_hsa	Gm23297
mESCs_lnc:1110038B12Rik_hsa	Gm23297
mESCs_lnc:1110038B12Rik_hsa	Snora65
mESCs_lnc:1110038B12Rik_hsa	Snora65
mESCs_lnc:1110038B12Rik_hsa	Mir5117
mESCs_lnc:1110038B12Rik_hsa	Mir5117
mESCs_lnc:1110038B12Rik_hsa	Gm24616
mESCs_lnc:1110038B12Rik_hsa	Gm24616
mESCs_lnc:1110038B12Rik_hsa	Gm24616
mESCs_lnc:1110038B12Rik_hsa	Gm24452
mESCs_lnc:1110038B12Rik_hsa	Gm24452
mESCs_lnc:1110038B12Rik_hsa	Gm24455
mESCs_lnc:1110038B12Rik_hsa	Gm24455
mESCs_lnc:1110038B12Rik_hsa	Gm24455
mESCs_lnc:1110038B12Rik_hsa	Gm24451
mESCs_lnc:1110038B12Rik_hsa	Gm24451
mESCs_lnc:1110038B12Rik_hsa	Gm24451
mESCs_lnc:1110038B12Rik_hsa	Gm23245
mESCs_lnc:1110038B12Rik_hsa	Gm25755
mESCs_lnc:1110038B12Rik_hsa	Gm25755
mESCs_lnc:1110038B12Rik_hsa	Gm25577
mESCs_lnc:1110038B12Rik_hsa	Snora73b
mESCs_lnc:1110038B12Rik_hsa	Snora73b
mESCs_lnc:1110038B12Rik_hsa	Snora73b
mESCs_lnc:1110038B12Rik_hsa	Snora73b
mESCs_lnc:1110038B12Rik_hsa	Snora73b
mESCs_lnc:1110038B12Rik_hsa	Snora73b
EFs_lnc:1110038B12Rik_hsa	Snora73b
mESCs_lnc:1110038B12Rik_hsa	Snora73b
mESCs_lnc:1110038B12Rik_hsa	Snora73b
mESCs_lnc:1110038B12Rik_hsa	Snora73b
mESCs_lnc:1110038B12Rik_hsa	Snora73b
mESCs_lnc:1110038B12Rik_hsa	Snora73b
mESCs_lnc:1110038B12Rik_hsa	Snora73b
mESCs_lnc:1110038B12Rik_hsa	Snora73b
mESCs_lnc:1110038B12Rik_hsa	Gm22740
mESCs_lnc:1110038B12Rik_hsa	Gm22744
mESCs_lnc:1110038B12Rik_hsa	Gm26397
EFs_lnc:1110038B12Rik_hsa	Gm23105
mESCs_lnc:1110038B12Rik_hsa	Gm24259
EFs_lnc:1110038B12Rik_hsa	Snora5c
mESCs_lnc:1110038B12Rik_hsa	Gm26163
mESCs_lnc:1110038B12Rik_hsa	Gm23037
EFs_lnc:1110038B12Rik_hsa	Gm24698
mESCs_lnc:1110038B12Rik_hsa	Snord35a
EFs_lnc:1110038B12Rik_hsa	Gm24029
mESCs_lnc:1110038B12Rik_hsa	Gm24029
mESCs_lnc:1110038B12Rik_hsa	Gm24029
mESCs_lnc:1110038B12Rik_hsa	Gm24029
EFs_lnc:1110038B12Rik_hsa	Gm24523
mESCs_lnc:1110038B12Rik_hsa	Gm23795
EFs_lnc:1110038B12Rik_hsa	Snora33
EFs_lnc:1110038B12Rik_hsa	Snora33
mESCs_lnc:1110038B12Rik_hsa	Snora33
mESCs_lnc:1110038B12Rik_hsa	Snora33
mESCs_lnc:1110038B12Rik_hsa	Snora33
EFs_lnc:1110038B12Rik_hsa	Snora57
EFs_lnc:1110038B12Rik_hsa	Snora57
EFs_lnc:1110038B12Rik_hsa	Snora57
EFs_lnc:1110038B12Rik_hsa	Snora57
EFs_lnc:1110038B12Rik_hsa	Snora57
EFs_lnc:1110038B12Rik_hsa	Snora57
mESCs_lnc:1110038B12Rik_hsa	Snora57
mESCs_lnc:1110038B12Rik_hsa	Snora57
mESCs_lnc:1110038B12Rik_hsa	Snora57
mESCs_lnc:1110038B12Rik_hsa	Zfas1
