kinase	target
CDK1	SQSTM1
CDK1	LATS1
CDK1	YAP1
CDK1	TSC1
CDK1	ECT2
CDK1	PAK1
CDK1	MAPK6
CDK2	RB1
CDK2	TP53
CDK2	ELAVL1
CDK2	ADD1
CDK2	TP73
CDK2	MARCKS
CDK2	VIM
CDK2	PTPN6
CDK2	DBNL
CDK2	DIAPH3
CDK2	AARS2
CDK2	PRPF31
CDK2	PTHLH
CDK2	PYCR1
CDK2	QTRT1
CDK2	RBM27
CDK2	RPL11
CDK2	RPL12
CDK2	RPS27L
CDK2	SETDB1
CDK2	SLAIN2
CDK2	SNRNP70
CDK2	SNW1
CDK2	SPAG9
CDK2	SPDL1
CDK2	SRSF11
CDK2	SRSF9
CDK2	SUPT6H
CDK2	TBCE
CDK2	TERF2
CDK2	TERF2IP
CDK2	TOR1AIP1
CDK2	TSPYL2
CDK2	TSR1
CDK2	UBE2O
CDK2	UBXN1
CDK2	USP37
CDK2	VIPAS39
CDK2	ZBTB16
CDK2	ZC3H18
CDK2	ZHX1
CDK2	ZNF609
CDK2	PPP1R35
CDK2	POLM
CDK2	POLL
CDK2	PHF6
CDK2	PARP10
CDK2	ORC1
CDK2	NUP133
CDK2	NUP107
CDK2	NUFIP2
CDK2	NR1I2
CDK2	NPAT
CDK2	NOSIP
CDK2	NOB1
CDK2	NELFA
CDK2	MTHFD1L
CDK2	MTA2
CDK2	MTA1
CDK2	MRPS18B
CDK2	MICALL1
CDK2	AKIRIN2
CDK2	MCM3AP
CDK2	MACF1
CDK2	LRWD1
CDK2	LRCH3
CDK2	ALDH5A1
CDK2	LMNB2
CDK2	KMT2D
CDK2	INO80E
CDK2	ING5
CDK2	INCA1
CDK2	IMPDH2
CDK2	ID3
CDK2	HNRNPUL1
CDK2	HN1L
CDK2	HIRA
CDK2	ANKLE2
CDK2	GATAD2A
CDK2	FOXC1
CDK2	FAM168B
CDK2	FAM122A
CDK2	ERAL1
CDK2	EPB41L3
CDK2	EIF4A3
CDK2	EIF2A
CDK2	EEF2
CDK2	E2F5
CDK2	DPF2
CDK2	DMAP1
CDK2	DHX38
CDK2	CTTNBP2NL
CDK2	CENPF
CDK2	CDC5L
CDK2	CCNA2
CDK2	CC2D1A
CDK2	CAMSAP1
CDK2	C9ORF40
CDK2	C6ORF106
CDK2	C2ORF49
CDK2	C1ORF198
CDK2	C17ORF49
CDK2	BTG1
CDK2	BOD1L1
CDK2	BAZ2A
CDK2	ARID4A
CDK2	ARID1A
CDK2	ARHGAP19
CDK2	TUBG1
CDK2	ATRIP
CDK2	PRKAR1A
CDK2	POU2F1
